Название,Тип,Количество,Длительность,Статус,Возростной рейтинг,Реитинг,Оценивают,Рецензий,Комментариев
Стальной алхимик: Братство, TV Сериал, 64, 24 мин, 1, R-17, 9.1, Великолепно, 171, 5628
Врата Штейна, TV Сериал, 24, 24 мин, 1, PG-13, 9.08, Великолепно, 259, 6452
Блич: Тысячелетняя кровавая война, TV Сериал, 13, 24 мин, 1, R-17, 9.07, Великолепно, 28, 11135
Атака титанов: Финал — Заключительная глава, Спешл, 1, 1 час 1 мин, 0, R-17, 9.06, Великолепно, 14, 4671
Гинтама 4, TV Сериал, 51, 24 мин, 1, PG-13, 9.07, Великолепно, 19, 1195
Госпожа Кагуя: в любви как на войне 3, TV Сериал, 13, 23 мин, 1, PG-13, 9.06, Великолепно, 61, 4940
Атака титанов 3. Часть 2, TV Сериал, 10, 23 мин, 1, R-17, 9.06, Великолепно, 54, 2977
Гинтама: Финал, Фильм, 1, 1 час 44 мин, 1, PG-13, 9.05, Великолепно, 9, 526
Гинтама 2, TV Сериал, 51, 24 мин, 1, PG-13, 9.04, Великолепно, 10, 121
Охотник х Охотник (2011), TV Сериал, 148, 23 мин, 1, PG-13, 9.04, Великолепно, 188, 11531
Ребёнок идола, TV Сериал, 6, , 0, PG-13, 9.03, Великолепно, 6, 8026
Гинтама 3, TV Сериал, 13, 24 мин, 1, PG-13, 9.03, Великолепно, 10, 85
Легенда о героях Галактики, OVA, 110, 26 мин, 1, R+, 9.02, Великолепно, 53, 2158
Корзинка фруктов: Финал, TV Сериал, 13, 23 мин, 1, PG-13, 9.0, Великолепно, 29, 637
Гинтама 5, TV Сериал, 12, 24 мин, 1, PG-13, 8.99, Отлично, 18, 490
Мартовский лев 2, TV Сериал, 22, 25 мин, 1, PG-13, 8.94, Отлично, 26, 335
Гинтама, TV Сериал, 201, 24 мин, 1, PG-13, 8.94, Отлично, 93, 1817
Форма голоса, Фильм, 1, 2 часа 10 мин, 1, PG-13, 8.94, Отлично, 365, 2289
Кланнад: Продолжение истории, TV Сериал, 24, 24 мин, 1, PG-13, 8.93, Отлично, 111, 2059
Гинтама: Финальная арка — Ёродзуя навсегда!, Фильм, 1, 1 час 50 мин, 1, PG-13, 8.92, Отлично, 13, 158
Код Гиас: Восставший Лелуш 2, TV Сериал, 25, 24 мин, 1, R-17, 8.91, Отлично, 102, 1303
Вайолет Эвергарден. Фильм, Фильм, 1, 2 часа 20 мин, 1, PG-13, 8.9, Отлично, 69, 697
История финала 2, TV Сериал, 7, 22 мин, 1, R-17, 8.88, Отлично, 34, 901
Гинтама 8, TV Сериал, 14, 24 мин, 1, PG-13, 8.88, Отлично, 18, 311
Монстр, TV Сериал, 74, 24 мин, 1, R+, 8.86, Отлично, 107, 2260
Твоё имя, Фильм, 1, 1 час 46 мин, 1, PG-13, 8.85, Отлично, 313, 2723
Гинтама 7, TV Сериал, 12, 24 мин, 1, PG-13, 8.81, Отлично, 17, 269
Царство 3, TV Сериал, 26, 25 мин, 1, R-17, 8.81, Отлично, 2, 485
Моб Психо 100 2, TV Сериал, 13, 24 мин, 1, PG-13, 8.8, Отлично, 89, 832
Атака титанов: Финал, TV Сериал, 16, 23 мин, 1, R-17, 8.8, Отлично, 69, 15364
Истории ран. Часть 3: Холодная кровь, Фильм, 1, 1 час 23 мин, 1, R-17, 8.79, Отлично, 34, 527
Унесённые призраками, Фильм, 1, 2 часа 4 мин, 1, PG, 8.78, Отлично, 70, 564
Волейбол!! 3, TV Сериал, 10, 24 мин, 1, PG-13, 8.78, Отлично, 36, 411
Цикл историй: Второй сезон, TV Сериал, 26, 25 мин, 1, R-17, 8.77, Отлично, 26, 1742
Первый шаг, TV Сериал, 75, 23 мин, 1, PG-13, 8.76, Отлично, 27, 422
Ковбой Бибоп, TV Сериал, 26, 24 мин, 1, R+, 8.75, Отлично, 138, 1015
Агент времени, ONA, 11, 23 мин, 1, PG-13, 8.74, Отлично, 64, 965
Сёва-Гэнроку: Двойное самоубийство по ракуго 2, TV Сериал, 12, 24 мин, 1, PG-13, 8.73, Отлично, 25, 179
Завтрашний Джо 2, TV Сериал, 47, 24 мин, 1, PG-13, 8.72, Отлично, 12, 169
Восемьдесят шесть. Часть 2, TV Сериал, 12, 23 мин, 1, R-17, 8.71, Отлично, 47, 2115
Бродяга Кэнсин: Воспоминания, OVA, 4, 29 мин, 1, R-17, 8.71, Отлично, 20, 148
Код Гиас: Восставший Лелуш, TV Сериал, 25, 24 мин, 1, R+, 8.7, Отлично, 103, 1819
Сага о Винланде 2, TV Сериал, 19, 25 мин, 0, R-17, 8.7, Отлично, 7, 2804
Крутой учитель Онидзука, TV Сериал, 43, 25 мин, 1, R-17, 8.69, Отлично, 112, 705
Случайное такси, TV Сериал, 13, 23 мин, 1, PG-13, 8.69, Отлично, 47, 882
Ван-Пис, TV Сериал, 1062, 24 мин, 0, PG-13, 8.69, Отлично, 96, 14351
Судьба/Ночь схватки: Прикосновение небес 3, Фильм, 1, 2 часа 2 мин, 1, R-17, 8.68, Отлично, 25, 2492
Принцесса Мононоке, Фильм, 1, 2 часа 13 мин, 1, PG-13, 8.67, Отлично, 48, 207
Вайолет Эвергарден, TV Сериал, 13, 24 мин, 1, PG-13, 8.67, Отлично, 268, 3048
Первый шаг: Новый вызов, TV Сериал, 26, 23 мин, 1, PG-13, 8.66, Отлично, 5, 36
Созданный в Бездне, TV Сериал, 13, 25 мин, 1, R-17, 8.66, Отлично, 199, 1394
Магическая битва, TV Сериал, 24, 23 мин, 1, R-17, 8.64, Отлично, 115, 7839
Волейбол!! 2, TV Сериал, 25, 24 мин, 1, PG-13, 8.63, Отлично, 27, 409
Клинок рассекающий демонов: Деревня кузнецов, TV Сериал, 7, 26 мин, 0, R-17, 8.63, Отлично, 2, 3452
Гуррен-Лаганн пронзающий небеса, TV Сериал, 27, 24 мин, 1, PG-13, 8.63, Отлично, 168, 1811
Созданный в Бездне: Рассвет глубокой души, Фильм, 1, 1 час 45 мин, 1, R-17, 8.63, Отлично, 39, 569
Тетрадь дружбы Нацумэ 6, TV Сериал, 11, 23 мин, 1, PG-13, 8.62, Отлично, 8, 319
Атака титанов 3, TV Сериал, 12, 23 мин, 1, R-17, 8.62, Отлично, 47, 4192
Евангелион 3.0+1.01: Как-то раз, Фильм, 1, 2 часа 35 мин, 1, PG-13, 8.61, Отлично, 72, 2607
Исчезновение Харухи Судзумии, Фильм, 1, 2 часа 41 мин, 1, PG-13, 8.61, Отлично, 60, 574
Магистр дьявольского культа 3, ONA, 12, 24 мин, 1, R-17, 8.6, Отлично, 18, 332
Первый шаг: Восхождение, TV Сериал, 25, 22 мин, 1, PG-13, 8.59, Отлично, 9, 122
Невероятное приключение ДжоДжо: Золотой ветер, TV Сериал, 39, 23 мин, 1, R-17, 8.58, Отлично, 72, 4945
Волчьи дети Амэ и Юки, Фильм, 1, 1 час 57 мин, 1, PG-13, 8.58, Отлично, 58, 233
Тетрадь дружбы Нацумэ 5, TV Сериал, 11, 23 мин, 1, PG-13, 8.57, Отлично, 12, 218
Евангелион нового поколения: Конец Евангелиона, Фильм, 1, 1 час 26 мин, 1, R+, 8.55, Отлично, 41, 730
Рейтинг короля, TV Сериал, 23, 22 мин, 1, /, 8.55, Отлично, 45, 1641
Судьба/Начало 2, TV Сериал, 12, 24 мин, 1, R-17, 8.55, Отлично, 55, 647
Волейбол!! К вершине 2, TV Сериал, 12, 23 мин, 1, PG-13, 8.54, Отлично, 17, 507
Нана, TV Сериал, 47, 23 мин, 1, R+, 8.54, Отлично, 75, 995
Слэм-данк, TV Сериал, 101, 23 мин, 1, PG-13, 8.54, Отлично, 12, 117
Атака титанов, TV Сериал, 25, 24 мин, 1, R-17, 8.53, Отлично, 191, 8799
Девичья опера: Свет ревю. Фильм, Фильм, 1, 2 час, 1, PG-13, 8.54, Отлично, 0, 44
Дальше чем космос, TV Сериал, 13, 23 мин, 1, PG-13, 8.53, Отлично, 42, 279
Врата Штейна 0, TV Сериал, 23, 23 мин, 1, PG-13, 8.53, Отлично, 120, 5688
Гинтама: Сказание о Бэнидзакуре, Фильм, 1, 1 час 35 мин, 1, R-17, 8.52, Отлично, 6, 28
Гинтама 6, TV Сериал, 13, 23 мин, 1, PG-13, 8.52, Отлично, 8, 301
Могила светлячков, Фильм, 1, 1 час 28 мин, 1, PG-13, 8.51, Отлично, 60, 275
Обещанный Неверленд, TV Сериал, 12, 22 мин, 1, R-17, 8.51, Отлично, 169, 1604
Клинок рассекающий демонов, TV Сериал, 26, 23 мин, 1, R-17, 8.51, Отлично, 235, 4049
Самурай Чамплу, TV Сериал, 26, 24 мин, 1, R-17, 8.51, Отлично, 85, 681
Атака титанов 2, TV Сериал, 12, 24 мин, 1, R-17, 8.5, Отлично, 82, 4331
Судьба/Ночь схватки: Прикосновение небес 2, Фильм, 1, 1 час 57 мин, 1, R-17, 8.5, Отлично, 17, 594
Невероятное приключение ДжоДжо: Несокрушимый алмаз, TV Сериал, 39, 23 мин, 1, R-17, 8.5, Отлично, 73, 1909
Моб Психо 100, TV Сериал, 12, 24 мин, 1, PG-13, 8.49, Отлично, 78, 825
Класс убийц 2, TV Сериал, 25, 23 мин, 1, PG-13, 8.49, Отлично, 76, 365
Банановая рыба, TV Сериал, 24, 22 мин, 1, R-17, 8.49, Отлично, 109, 2748
Ария: Происхождение, TV Сериал, 13, 24 мин, 1, G, 8.48, Отлично, 8, 68
Магическая битва 0. Фильм, Фильм, 1, 1 час 44 мин, 1, R-17, 8.48, Отлично, 25, 1083
Радуга: Семеро из шестой камеры второго блока, TV Сериал, 26, 22 мин, 1, R-17, 8.48, Отлично, 95, 572
Яркая Тихая 3, TV Сериал, 24, 22 мин, 1, PG-13, 8.47, Отлично, 5, 333
Гинтама: Полуфинал, Спешл, 2, 24 мин, 1, PG-13, 8.47, Отлично, 3, 71
Мелочи жизни, TV Сериал, 26, 23 мин, 1, PG-13, 8.46, Отлично, 33, 293
Отчёт о буйстве духов, TV Сериал, 112, 24 мин, 1, PG-13, 8.46, Отлично, 19, 583
История финала: Продолжение, Фильм, 6, 28 мин, 1, R-17, 8.45, Отлично, 18, 834
Золотое божество 3, TV Сериал, 12, 23 мин, 1, R-17, 8.45, Отлично, 17, 490
Этот замечательный мир! Багровая легенда, Фильм, 1, 1 час 30 мин, 1, PG-13, 8.45, Отлично, 34, 798
История финала, TV Сериал, 12, 26 мин, 1, R-17, 8.45, Отлично, 29, 571
Врата Штейна: Зона загрузки дежавю, Фильм, 1, 1 час 30 мин, 1, PG-13, 8.45, Отлично, 47, 461
Магистр дьявольского культа, ONA, 15, 25 мин, 1, R-17, 8.44, Отлично, 93, 540
Гинтама: Лучшее из «Гинтамы» на Theater 2D, Фильм, 2, 1 час 36 мин, 1, PG-13, 8.44, Отлично, 2, 31
Волейбол!!, TV Сериал, 25, 24 мин, 1, PG-13, 8.44, Отлично, 76, 620
Необъятный океан, TV Сериал, 12, 24 мин, 1, PG-13, 8.43, Отлично, 121, 706
Мастер муси: Следующая глава — Тернистый путь, Спешл, 1, 47 мин, 1, PG-13, 8.43, Отлично, 3, 16
Как воспитать героиню из обычной девушки: Финал, Фильм, 1, 1 час 54 мин, 1, PG-13, 8.43, Отлично, 19, 371
Призрак в доспехах: Синдром одиночки, TV Сериал, 26, 25 мин, 1, R-17, 8.42, Отлично, 29, 379
Магистр дьявольского культа 2, ONA, 8, 24 мин, 1, R-17, 8.42, Отлично, 24, 393
Ох уж этот экстрасенс Сайки Кусуо!, TV Сериал, 120, 5 мин, 1, PG-13, 8.42, Отлично, 58, 435
Ох уж этот экстрасенс Сайки Кусуо! 2, TV Сериал, 24, 24 мин, 1, PG-13, 8.42, Отлично, 27, 407
Благословение небожителей: Спецвыпуск, ONA, 1, 22 мин, 1, PG-13, 8.42, Отлично, 3, 60
Виви: Песнь флюоритового глаза, TV Сериал, 13, 24 мин, 1, R-17, 8.42, Отлично, 60, 1819
Вайолет Эвергарден: Вечность и призрак пера, Фильм, 1, 1 час 31 мин, 1, PG-13, 8.41, Отлично, 37, 267
Тетрадь дружбы Нацумэ: Эфемерная связь, Фильм, 1, 1 час 44 мин, 1, PG-13, 8.41, Отлично, 20, 126
Атака титанов: Выбор без сожалений, OVA, 2, 27 мин, 1, R-17, 8.41, Отлично, 27, 295
Охотник х Охотник, TV Сериал, 62, 23 мин, 1, PG-13, 8.41, Отлично, 17, 375
Жозе тигр и рыба, Фильм, 1, 1 час 38 мин, 1, PG-13, 8.41, Отлично, 54, 476
Госпожа Кагуя: в любви как на войне, TV Сериал, 12, 25 мин, 1, PG-13, 8.41, Отлично, 167, 1443
Гинтама 4: Любовные благовония, OVA, 2, 26 мин, 1, PG-13, 8.4, Отлично, 2, 81
Граница пустоты 7: Теория убийства — Часть 2, Фильм, 1, 2 часа 1 мин, 1, R-17, 8.4, Отлично, 15, 80
Седьмой киллер 3, ONA, 10, 16 мин, 1, R-17, 8.4, Отлично, 3, 126
Мэйджор 5, TV Сериал, 25, 24 мин, 1, PG-13, 8.4, Отлично, 2, 15
Тетрадь дружбы Нацумэ 6: Спецвыпуски, Спешл, 2, 23 мин, 1, PG-13, 8.4, Отлично, 1, 51
Укрась прощальное утро цветами обещания, Фильм, 1, 1 час 54 мин, 1, PG-13, 8.4, Отлично, 203, 679
Клинок рассекающий демонов: Бесконечный поезд, TV Сериал, 7, 24 мин, 1, R-17, 8.39, Отлично, 11, 527
Яркая Тихая 2, TV Сериал, 25, 22 мин, 1, PG-13, 8.39, Отлично, 21, 221
Страна самоцветов, TV Сериал, 12, 24 мин, 1, PG-13, 8.39, Отлично, 73, 394
Почувствуй ветер, TV Сериал, 23, 23 мин, 1, PG-13, 8.39, Отлично, 55, 390
О моём перерождении в слизь 2, TV Сериал, 12, 23 мин, 1, PG-13, 8.39, Отлично, 24, 1320
Благословение небожителей, ONA, 11, 25 мин, 1, PG-13, 8.38, Отлично, 18, 753
Деревенская глубинка 3, TV Сериал, 12, 24 мин, 1, PG-13, 8.38, Отлично, 7, 355
Мартовский лев, TV Сериал, 22, 25 мин, 1, PG-13, 8.38, Отлично, 39, 512
Баракамон, TV Сериал, 12, 22 мин, 1, PG-13, 8.38, Отлично, 81, 601
Ковбой Бибоп: Достучаться до небес, Фильм, 1, 1 час 55 мин, 1, R-17, 8.38, Отлично, 14, 100
Синяя тюрьма: Блю Лок, TV Сериал, 24, 24 мин, 1, PG-13, 8.37, Отлично, 42, 1321
Моя геройская академия 6, TV Сериал, 25, 23 мин, 1, PG-13, 8.37, Отлично, 19, 824
Истории ран. Часть 1: Железная кровь, Фильм, 1, 1 час 4 мин, 1, R-17, 8.37, Отлично, 30, 864
Созданный в Бездне: Блуждающие сумерки, Фильм, 1, 1 час 45 мин, 1, R-17, 8.37, Отлично, 2, 42
Девочка-волшебница Мадока★Волшебство, TV Сериал, 12, 24 мин, 1, PG-13, 8.36, Отлично, 107, 2137
Для тебя Бессмертный, TV Сериал, 20, 25 мин, 1, R-17, 8.36, Отлично, 63, 1483
Волейбол!! К вершине, TV Сериал, 13, 24 мин, 1, PG-13, 8.36, Отлично, 22, 515
Навсикая из Долины ветров, Фильм, 1, 1 час 57 мин, 1, PG-13, 8.36, Отлично, 24, 204
Брошенный кролик, TV Сериал, 11, 22 мин, 1, PG-13, 8.36, Отлично, 71, 688
Евангелион нового поколения, TV Сериал, 26, 24 мин, 1, PG-13, 8.35, Отлично, 202, 5508
Бакуман 2, TV Сериал, 25, 24 мин, 1, PG-13, 8.35, Отлично, 18, 159
Гинтама: Рождение Белого Демона, Спешл, 1, 10 мин, 1, PG-13, 8.35, Отлично, 2, 42
Хеллсинг OVA, OVA, 10, 49 мин, 1, R+, 8.35, Отлично, 67, 464
Кэйон в кино!, Фильм, 1, 1 час 50 мин, 1, PG-13, 8.35, Отлично, 16, 97
Паразит: Учение о жизни, TV Сериал, 24, 23 мин, 1, R-17, 8.34, Отлично, 160, 2075
Доктор Стоун: Новый мир, TV Сериал, 7, 24 мин, 0, PG-13, 8.34, Отлично, 1, 286
Психопаспорт, TV Сериал, 22, 23 мин, 1, R-17, 8.34, Отлично, 169, 1156
Re:Zero. Жизнь с нуля в альтернативном мире 2, TV Сериал, 13, 27 мин, 1, R-17, 8.34, Отлично, 61, 8160
Восхождение в тени!, TV Сериал, 20, 23 мин, 1, R-17, 8.34, Отлично, 105, 5813
Мобильный воин Гандам: Происхождение, OVA, 6, 1 час 11 мин, 1, R+, 8.33, Отлично, 7, 187
Царство 2, TV Сериал, 39, 25 мин, 1, R-17, 8.33, Отлично, 17, 146
Мэйджор 6, TV Сериал, 25, 24 мин, 1, PG-13, 8.33, Отлично, 8, 13
Тетрадь дружбы Нацумэ: Однажды зимним днём, OVA, 1, 22 мин, 1, PG-13, 8.33, Отлично, 4, 46
Один на вылет, TV Сериал, 25, 23 мин, 1, PG-13, 8.33, Отлично, 36, 200
О моём перерождении в слизь 2. Часть 2, TV Сериал, 12, 23 мин, 1, PG-13, 8.33, Отлично, 23, 717
Истории монстров, TV Сериал, 15, 25 мин, 1, R-17, 8.33, Отлично, 146, 3972
Адский рай, TV Сериал, 8, 24 мин, 0, R-17, 8.32, Отлично, 5, 3662
Судьба/Ночь схватки: Бесконечный мир клинков 2, TV Сериал, 13, 24 мин, 1, R-17, 8.32, Отлично, 54, 1393
Семья шпиона. Часть 2, TV Сериал, 13, 24 мин, 1, PG-13, 8.32, Отлично, 30, 1156
Голубые небеса Ромео, TV Сериал, 33, 23 мин, 1, PG-13, 8.32, Отлично, 7, 47
Заклинательница зверей Эрин, TV Сериал, 50, 25 мин, 1, PG-13, 8.31, Отлично, 12, 88
Дракон-горничная госпожи Кобаяси 2, TV Сериал, 12, 23 мин, 1, PG-13, 8.31, Отлично, 23, 711
Добро пожаловать в NHK, TV Сериал, 24, 24 мин, 1, R+, 8.31, Отлично, 114, 944
Дети на холме, TV Сериал, 12, 22 мин, 1, PG-13, 8.31, Отлично, 72, 278
Город в котором меня нет, TV Сериал, 12, 23 мин, 1, R-17, 8.31, Отлично, 313, 2312
Евангелион 2.22: Ты (не) пройдёшь, Фильм, 1, 1 час 52 мин, 1, R+, 8.31, Отлично, 34, 234
Охотник х Охотник OVA, OVA, 8, 24 мин, 1, PG-13, 8.31, Отлично, 1, 16
Детектив Конан: Призрак с Бейкер-Стрит, Фильм, 1, 1 час 47 мин, 1, PG-13, 8.3, Отлично, 3, 8
Путь аса 2, TV Сериал, 51, 24 мин, 1, PG-13, 8.3, Отлично, 8, 53
Звучи эуфониум! 2, TV Сериал, 13, 23 мин, 1, PG-13, 8.3, Отлично, 13, 640
Путешествие Кино: Прекрасный мир, TV Сериал, 13, 24 мин, 1, R-17, 8.29, Отлично, 33, 197
Мэйджор: Мировая серия, OVA, 2, 28 мин, 1, PG-13, 8.29, Отлично, 0, 48
Врата Штейна: Эгоистичная пориомания, Спешл, 1, 24 мин, 1, PG-13, 8.29, Отлично, 10, 86
Завтрашний Джо, TV Сериал, 79, 25 мин, 1, PG-13, 8.29, Отлично, 14, 348
Бек, TV Сериал, 26, 25 мин, 1, R-17, 8.29, Отлично, 56, 293
Одноклассник, Фильм, 1, 1 ча, 1, PG-13, 8.29, Отлично, 46, 243
Доктор Стоун, TV Сериал, 24, 24 мин, 1, PG-13, 8.29, Отлично, 98, 1134
Гинтама: Сказание о Бэнидзакуре — Дополнение, Спешл, 1, 11 мин, 1, PG-13, 8.29, Отлично, 2, 7
В лес где мерцают светлячки, Фильм, 1, 45 мин, 1, G, 8.29, Отлично, 143, 584
Дитя погоды, Фильм, 1, 1 час 52 мин, 1, PG-13, 8.29, Отлично, 155, 1549
Семёрка идолов 3. Часть 2, TV Сериал, 17, 24 мин, 1, PG-13, 8.29, Отлично, 1, 195
Хроника крыльев: Откровения Токио, OVA, 3, 30 мин, 1, R-17, 8.28, Отлично, 3, 10
Импульс мира 3, TV Сериал, 14, 23 мин, 1, PG-13, 8.28, Отлично, 4, 161
Рамаяна: Легенда о царевиче Раме, Фильм, 1, 2 часа 15 мин, 1, G, 8.28, Отлично, 1, 3
Красная черта, Фильм, 1, 1 час 42 мин, 1, R+, 8.28, Отлично, 45, 183
Белый ящик, TV Сериал, 24, 24 мин, 1, PG-13, 8.28, Отлично, 55, 348
Восемьдесят шесть, TV Сериал, 11, 23 мин, 1, R-17, 8.28, Отлично, 93, 2587
Судьба/Начало, TV Сериал, 13, 28 мин, 1, R-17, 8.28, Отлично, 63, 2101
Инициал Ди: Финальная стадия, TV Сериал, 4, 27 мин, 1, PG-13, 8.28, Отлично, 7, 79
Серебряная ложка 2, TV Сериал, 11, 24 мин, 1, PG-13, 8.27, Отлично, 16, 77
Кайдзи, TV Сериал, 26, 23 мин, 1, R-17, 8.27, Отлично, 53, 275
Доктор Стоун: Рюсуй, Спешл, 1, 54 мин, 1, PG-13, 8.27, Отлично, 5, 107
Однажды в Токио, Фильм, 1, 1 час 31 мин, 1, PG-13, 8.27, Отлично, 22, 94
Лагерь на свежем воздухе, TV Сериал, 12, 23 мин, 1, PG-13, 8.27, Отлично, 51, 277
Золотое божество 4, TV Сериал, 7, 23 мин, 0, R-17, 8.27, Отлично, 1, 555
Патриотизм Мориарти 2, TV Сериал, 13, 23 мин, 1, R-17, 8.27, Отлично, 24, 566
Призрак в доспехах, Фильм, 1, 1 час 22 мин, 1, R+, 8.27, Отлично, 38, 461
Меч чужака, Фильм, 1, 1 час 43 мин, 1, R-17, 8.27, Отлично, 29, 89
Наруто: Ураганные хроники, TV Сериал, 500, 23 мин, 1, PG-13, 8.26, Отлично, 133, 2485
Странники, TV Сериал, 26, 25 мин, 1, PG-13, 8.26, Отлично, 47, 317
Космический Денди 2, TV Сериал, 13, 24 мин, 1, PG-13, 8.26, Отлично, 17, 140
